fullName,name,gene_id,summary,Protein_Domains
epidermal growth factor,EGF,1634,"This gene encodes a member of the epidermal growth factor superfamily. The encoded preproprotein is proteolytically processed to generate the 53-amino acid epidermal growth factor peptide. This protein acts a potent mitogenic factor that plays an important role in the growth, proliferation and differentiation of numerous cell types. This protein acts by binding with high affinity to the cell surface receptor, epidermal growth factor receptor. Defects in this gene are the cause of hypomagnesemia type 4. Dysregulation of this gene has been associated with the growth and progression of certain cancers. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016].","['LDLR class B repeat', 'EGF-type aspartate/asparagine hydroxylation site', 'EGF-like domain', 'EGF-like calcium-binding domain', 'Growth factor receptor cysteine-rich domain superfamily', 'Six-bladed beta-propeller, TolB-like', 'Pro-epidermal growth factor', 'EGF-like calcium-binding, conserved site', 'NOTCH1 EGF-like calcium-binding domain', 'Cueball/EGF/LRP/Nidogen']"
eukaryotic translation initiation factor 1A X-linked,EIF1AX,1646,"This gene encodes an essential eukaryotic translation initiation factor. The protein is required for the binding of the 43S complex (a 40S subunit, eIF2/GTP/Met-tRNAi and eIF3) to the 5' end of capped RNA. [provided by RefSeq, Jul 2008].","['Translation initiation factor 1A (eIF-1A)', 'RNA-binding domain, S1, IF1 type', 'Nucleic acid-binding, OB-fold', 'Translation initiation factor 1A (eIF-1A), conserved site']"
eukaryotic translation initiation factor 4A1,EIF4A1,1651,"Enables double-stranded RNA binding activity. Predicted to be involved in cytoplasmic translational initiation. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]","['ATP-dependent RNA helicase DEAD-box, conserved site', 'Helicase, C-terminal domain-like', 'DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase', 'RNA helicase, DEAD-box type, Q motif', 'ATP-dependent RNA helicase eIF4A, DEAD-box helicase domain']"
eukaryotic translation initiation factor 4E binding protein 1,EIF4EBP1,1655,"This gene encodes one member of a family of translation repressor proteins. The protein directly interacts with eukaryotic translation initiation factor 4E (eIF4E), which is a limiting component of the multisubunit complex that recruits 40S ribosomal subunits to the 5' end of mRNAs. Interaction of this protein with eIF4E inhibits complex assembly and represses translation. This protein is phosphorylated in response to various signals including UV irradiation and insulin signaling, resulting in its dissociation from eIF4E and activation of mRNA translation. [provided by RefSeq, Jul 2008].",[]
solute carrier family 29 member 1 (Augustine blood group),SLC29A1,1701,"This gene is a member of the equilibrative nucleoside transporter family. The gene encodes a transmembrane glycoprotein that localizes to the plasma and mitochondrial membranes and mediates the cellular uptake of nucleosides from the surrounding medium. The protein is categorized as an equilibrative (as opposed to concentrative) transporter that is sensitive to inhibition by nitrobenzylthioinosine (NBMPR). Nucleoside transporters are required for nucleotide synthesis in cells that lack de novo nucleoside synthesis pathways, and are also necessary for the uptake of cytotoxic nucleosides used for cancer and viral chemotherapies. Multiple alternatively spliced variants, encoding the same protein, have been found for this gene. [provided by RefSeq, Jul 2008].","['Equilibrative nucleoside transporter', 'Nucleoside transporter ENT1/ENT2', 'MFS transporter superfamily']"
E1A binding protein p300,EP300,1704,"This gene encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. It functions as histone acetyltransferase that regulates transcription via chromatin remodeling and is important in the processes of cell proliferation and differentiation. It mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. This gene has also been identified as a co-activator of HIF1A (hypoxia-inducible factor 1 alpha), and thus plays a role in the stimulation of hypoxia-induced genes such as VEGF. Defects in this gene are a cause of Rubinstein-Taybi syndrome and may also play a role in epithelial cancer. [provided by RefSeq, Jul 2008].","['Coactivator CBP, KIX domain', 'Histone acetyltransferase Rtt109/CBP', 'Coactivator CBP, KIX domain superfamily', 'Zinc finger, TAZ-type', 'Zinc finger, ZZ-type', 'Bromodomain', 'Nuclear receptor coactivator, interlocking', 'CREB-binding protein/p300, atypical RING domain', 'Zinc finger, RING/FYVE/PHD-type', 'Nuclear receptor coactivator, CREB-bp-like, interlocking', 'Bromodomain, conserved site', 'CBP/p300-type histone acetyltransferase domain', 'TAZ domain superfamily', 'Bromodomain-like superfamily', 'Nuclear receptor coactivator, CREB-bp-like, interlocking domain superfamily', 'CBP/p300, atypical RING domain superfamily', 'Zinc finger, ZZ-type superfamily']"
endothelial PAS domain protein 1,EPAS1,1705,"This gene encodes a transcription factor involved in the induction of genes regulated by oxygen, which is induced as oxygen levels fall. The encoded protein contains a basic-helix-loop-helix domain protein dimerization domain as well as a domain found in proteins in signal transduction pathways which respond to oxygen levels. Mutations in this gene are associated with erythrocytosis familial type 4. [provided by RefSeq, Nov 2009].","['PAS domain', 'Nuclear translocator', 'PAC motif', 'Myc-type, basic helix-loop-helix (bHLH) domain', 'PAS fold', 'HIF-1 alpha, C-terminal transactivation domain', 'Hypoxia-inducible factor, alpha subunit-like', 'PAS domain superfamily', 'Helix-loop-helix DNA-binding domain superfamily']"
EPH receptor B2,EPHB2,1719,"This gene encodes a member of the Eph receptor family of receptor tyrosine kinase transmembrane glycoproteins. These receptors are composed of an N-terminal glycosylated ligand-binding domain, a transmembrane region and an intracellular kinase domain. They bind ligands called ephrins and are involved in diverse cellular processes including motility, division, and differentiation. A distinguishing characteristic of Eph-ephrin signaling is that both receptors and ligands are competent to transduce a signaling cascade, resulting in bidirectional signaling. This protein belongs to a subgroup of the Eph receptors called EphB. Proteins of this subgroup are distinguished from other members of the family by sequence homology and preferential binding affinity for membrane-bound ephrin-B ligands. Allelic variants are associated with prostate and brain cancer susceptibility. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2015].","['Ephrin receptor ligand binding domain', 'Tyrosine-protein kinase, receptor class V, conserved site', 'Fibronectin type III', 'Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Tyrosine-protein kinase ephrin type A/B receptor-like', 'Immunoglobulin-like fold', 'Ephrin type-B receptor 2, ligand binding domain', 'Fibronectin type III superfamily', 'Ephrin receptor tyrosine kinases', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Sterile alpha motif domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Ephrin receptor type-A /type-B', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Ephrin receptor, transmembrane domain']"
EPH receptor B4,EPHB4,1721,"Ephrin receptors and their ligands, the ephrins, mediate numerous developmental processes, particularly in the nervous system. Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. Ephrin receptors make up the largest subgroup of the receptor tyrosine kinase (RTK) family. The protein encoded by this gene binds to ephrin-B2 and plays an essential role in vascular development. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Ephrin receptor ligand binding domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class V, conserved site', 'Sterile alpha motif domain', 'Fibronectin type III', 'Tyrosine-protein kinase, active site', 'Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Tyrosine-protein kinase ephrin type A/B receptor-like', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Ephrin receptor type-A /type-B', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Ephrin receptor, transmembrane domain', 'Ephrin type-B receptor 4, ligand binding domain', 'Fibronectin type III superfamily', 'EPH-B4, SAM domain', 'Ephrin receptor tyrosine kinases']"
erythropoietin receptor,EPOR,1728,"This gene encodes the erythropoietin receptor which is a member of the cytokine receptor family. Upon erythropoietin binding, this receptor activates Jak2 tyrosine kinase which activates different intracellular pathways including: Ras/MAP kinase, phosphatidylinositol 3-kinase and STAT transcription factors. The stimulated erythropoietin receptor appears to have a role in erythroid cell survival. Defects in the erythropoietin receptor may produce erythroleukemia and familial erythrocytosis. Dysregulation of this gene may affect the growth of certain tumors. Alternate splicing results in multiple transcript variants.[provided by RefSeq, May 2010].","['Long hematopoietin receptor, single chain, conserved site', 'Fibronectin type III', 'Immunoglobulin-like fold', 'Growth hormone/erythropoietin receptor, ligand binding', 'Fibronectin type III superfamily', 'Erythropoietin receptor']"
erb-b2 receptor tyrosine kinase 3,ERBB3,1733,"This gene encodes a member of the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases. This membrane-bound protein has a neuregulin binding domain but not an active kinase domain. It therefore can bind this ligand but not convey the signal into the cell through protein phosphorylation. However, it does form heterodimers with other EGF receptor family members which do have kinase activity. Heterodimerization leads to the activation of pathways which lead to cell proliferation or differentiation. Amplification of this gene and/or overexpression of its protein have been reported in numerous cancers, including prostate, bladder, and breast tumors. Alternate transcriptional splice variants encoding different isoforms have been characterized. One isoform lacks the intermembrane region and is secreted outside the cell. This form acts to modulate the activity of the membrane-bound form. Additional splice variants have also been reported, but they have not been thoroughly characterized. [provided by RefSeq, Jul 2008].","['Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Protein kinase-like domain superfamily', 'Receptor Tyrosine Kinase', 'Furin-like repeat', 'Growth factor receptor cysteine-rich domain superfamily', 'Tyrosine-protein kinase, catalytic domain', 'Growth factor receptor domain 4', 'Receptor L-domain superfamily', 'Receptor L-domain', 'Protein kinase domain', 'Furin-like cysteine-rich domain', 'Tyrosine protein kinase, EGF/ERB/XmrK receptor']"
erb-b2 receptor tyrosine kinase 4,ERBB4,1734,"This gene is a member of the Tyr protein kinase family and the epidermal growth factor receptor subfamily. It encodes a single-pass type I membrane protein with multiple cysteine rich domains, a transmembrane domain, a tyrosine kinase domain, a phosphotidylinositol-3 kinase binding site and a PDZ domain binding motif. The protein binds to and is activated by neuregulins and other factors and induces a variety of cellular responses including mitogenesis and differentiation. Multiple proteolytic events allow for the release of a cytoplasmic fragment and an extracellular fragment. Mutations in this gene have been associated with cancer. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008].","['Receptor L-domain', 'Receptor L-domain superfamily', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Furin-like cysteine-rich domain', 'Furin-like repeat', 'Tyrosine-protein kinase, active site', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Tyrosine protein kinase, EGF/ERB/XmrK receptor', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Growth factor receptor domain 4', 'Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment', 'Receptor Tyrosine Kinase']"
"ERCC excision repair 1, endonuclease non-catalytic subunit",ERCC1,1735,"The product of this gene functions in the nucleotide excision repair pathway, and is required for the repair of DNA lesions such as those induced by UV light or formed by electrophilic compounds including cisplatin. The encoded protein forms a heterodimer with the XPF endonuclease (also known as ERCC4), and the heterodimeric endonuclease catalyzes the 5' incision in the process of excising the DNA lesion. The heterodimeric endonuclease is also involved in recombinational DNA repair and in the repair of inter-strand crosslinks. Mutations in this gene result in cerebrooculofacioskeletal syndrome, and polymorphisms that alter expression of this gene may play a role in carcinogenesis. Multiple transcript variants encoding different isoforms have been found for this gene. The last exon of this gene overlaps with the CD3e molecule, epsilon associated protein gene on the opposite strand. [provided by RefSeq, Oct 2009].","['ERCC1/RAD10/SWI10 family', 'Restriction endonuclease type II-like', 'ERCC1-like, central domain', 'RuvA domain 2-like', 'Helix-hairpin-helix motif']"
"ERCC excision repair 2, TFIIH core complex helicase subunit",ERCC2,1736,"The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008].","['RAD3-like helicase, DEAD', 'Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type', 'P-loop containing nucleoside triphosphate hydrolase', 'Helicase superfamily 1/2, DinG/Rad3-like', 'DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site', 'Helicase-like, DEXD box c2 type', 'Helical and beta-bridge domain', 'ATP-dependent helicase Rad3/Chl1-like', 'RAD3/XPD family', 'ATP-dependent helicase, C-terminal']"
epiregulin,EREG,1737,"This gene encodes a secreted peptide hormone and member of the epidermal growth factor (EGF) family of proteins. The encoded protein is a ligand of the epidermal growth factor receptor (EGFR) and the structurally related erb-b2 receptor tyrosine kinase 4 (ERBB4). The encoded protein may be involved in a wide range of biological processes including inflammation, wound healing, oocyte maturation, and cell proliferation. Additionally, the encoded protein may promote the progression of cancers of various human tissues. [provided by RefSeq, Jul 2015].",[]
"ERCC excision repair 5, endonuclease",ERCC5,1741,"This gene encodes a single-strand specific DNA endonuclease that makes the 3' incision in DNA excision repair following UV-induced damage. The protein may also function in other cellular processes, including RNA polymerase II transcription, and transcription-coupled DNA repair. Mutations in this gene cause xeroderma pigmentosum complementation group G (XP-G), which is also referred to as xeroderma pigmentosum VII (XP7), a skin disorder characterized by hypersensitivity to UV light and increased susceptibility for skin cancer development following UV exposure. Some patients also develop Cockayne syndrome, which is characterized by severe growth defects, cognitive disability, and cachexia. Read-through transcription exists between this gene and the neighboring upstream BIVM (basic, immunoglobulin-like variable motif containing) gene. [provided by RefSeq, Feb 2011].","['XPG/Rad2 endonuclease, eukaryotes', 'XPG/Rad2 endonuclease', 'XPG, N-terminal', 'XPG-I domain', 'Helix-hairpin-helix motif, class 2', 'XPG conserved site', 'PIN-like domain superfamily', ""5'-3' exonuclease, C-terminal domain superfamily""]"
"ERCC excision repair 6, chromatin remodeling factor",ERCC6,1742,"This gene encodes a DNA-binding protein that is important in transcription-coupled excision repair. The encoded protein has ATP-stimulated ATPase activity, interacts with several transcription and excision repair proteins, and may promote complex formation at DNA repair sites. Mutations in this gene are associated with Cockayne syndrome type B and cerebrooculofacioskeletal syndrome 1. Alternative splicing occurs between a splice site from exon 5 of this gene to the 3' splice site upstream of the open reading frame (ORF) of the adjacent gene, piggyback-derived-3 (GeneID:267004), which activates the alternative polyadenylation site downstream of the piggyback-derived-3 ORF. The resulting transcripts encode a fusion protein that shares sequence with the product of each individual gene. [provided by RefSeq, Mar 2016].","['PiggyBac transposable element-derived protein', 'PiggyBac transposable element-derived', 'SNF2, N-terminal', 'Helicase, C-terminal domain-like', 'Helicase superfamily 1/2, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase', 'SNF2-like, N-terminal domain superfamily', 'SNF2/RAD5-like, C-terminal helicase domain', 'SNF2/RAD54 Helicase and DNA Repair']"
estrogen receptor 2,ESR2,1753,"This gene encodes a member of the family of estrogen receptors and superfamily of nuclear receptor transcription factors. The gene product contains an N-terminal DNA binding domain and C-terminal ligand binding domain and is localized to the nucleus, cytoplasm, and mitochondria. Upon binding to 17beta-estradiol or related ligands, the encoded protein forms homo- or hetero-dimers that interact with specific DNA sequences to activate transcription. Some isoforms dominantly inhibit the activity of other estrogen receptor family members. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been fully characterized. [provided by RefSeq, Jul 2008].","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type', 'Nuclear hormone receptor', 'Zinc finger, NHR/GATA-type', 'Estrogen receptor beta-like, N-terminal', 'Estrogen receptor/oestrogen-related receptor', 'Estrogen receptor beta/gamma', 'Nuclear hormone receptor-like domain superfamily', 'Nuclear hormone receptor family NR3 subfamily']"
"ETS proto-oncogene 1, transcription factor",ETS1,1762,"This gene encodes a member of the ETS family of transcription factors, which are defined by the presence of a conserved ETS DNA-binding domain that recognizes the core consensus DNA sequence GGAA/T in target genes. These proteins function either as transcriptional activators or repressors of numerous genes, and are involved in stem cell development, cell senescence and death, and tumorigenesis. Alternatively spliced transcript variants encoding different isoforms have been described for this gene.[provided by RefSeq, Jul 2011].","['Pointed domain', 'Sterile alpha motif/pointed domain superfamily', 'Protein C-ets-1, pointed domain', 'Ets1, N-terminal flanking region of Ets domain', 'Ets domain', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'ETS family', 'Transforming protein C-ets']"
"ETS proto-oncogene 2, transcription factor",ETS2,1763,"This gene encodes a transcription factor which regulates genes involved in development and apoptosis. The encoded protein is also a protooncogene and shown to be involved in regulation of telomerase. A pseudogene of this gene is located on the X chromosome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2012].","['Pointed domain', 'Sterile alpha motif/pointed domain superfamily', 'Ets domain', 'Transforming protein C-ets', 'Transforming protein C-ets-2', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'Ets1, N-terminal flanking region of Ets domain', 'ETS family']"
ETS variant transcription factor 1,ETV1,1764,"This gene encodes a member of the ETS (E twenty-six) family of transcription factors. The ETS proteins regulate many target genes that modulate biological processes like cell growth, angiogenesis, migration, proliferation and differentiation. All ETS proteins contain an ETS DNA-binding domain that binds to DNA sequences containing the consensus 5'-CGGA[AT]-3'. The protein encoded by this gene contains a conserved short acidic transactivation domain (TAD) in the N-terminal region, in addition to the ETS DNA-binding domain in the C-terminal region. This gene is involved in chromosomal translocations, which result in multiple fusion proteins including EWS-ETV1 in Ewing sarcoma and at least 10 ETV1 partners (see PMID: 19657377, Table 1) in prostate cancer. In addition to chromosomal rearrangement, this gene is overexpressed in prostate cancer, melanoma and gastrointestinal stromal tumor. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2016].","['PEA3-type ETS-domain transcription factor, N-terminal', 'Ets domain', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'ETS family']"
ETS variant transcription factor 4,ETV4,1767,"Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in positive regulation of keratinocyte differentiation and positive regulation of transcription by RNA polymerase II. Located in chromosome and nucleolus. [provided by Alliance of Genome Resources, Apr 2022]","['PEA3-type ETS-domain transcription factor, N-terminal', 'Ets domain', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'ETS family']"
ETS variant transcription factor 5,ETV5,1768,"Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II transcription regulatory region sequence-specific DNA binding activity. Involved in cellular response to oxidative stress; negative regulation of transcription by RNA polymerase II; and positive regulation of transcription by RNA polymerase II. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]","['PEA3-type ETS-domain transcription factor, N-terminal', 'Ets domain', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'ETS family']"
ETS variant transcription factor 6,ETV6,1769,"This gene encodes an ETS family transcription factor. The product of this gene contains two functional domains: a N-terminal pointed (PNT) domain that is involved in protein-protein interactions with itself and other proteins, and a C-terminal DNA-binding domain. Gene knockout studies in mice suggest that it is required for hematopoiesis and maintenance of the developing vascular network. This gene is known to be involved in a large number of chromosomal rearrangements associated with leukemia and congenital fibrosarcoma. [provided by RefSeq, Sep 2008].","['Ets domain', 'Pointed domain', 'Sterile alpha motif/pointed domain superfamily', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'ETS family']"
MDS1 and EVI1 complex locus,MECOM,1771,"The protein encoded by this gene is a transcriptional regulator and oncoprotein that may be involved in hematopoiesis, apoptosis, development, and cell differentiation and proliferation. The encoded protein can interact with CTBP1, SMAD3, CREBBP, KAT2B, MAPK8, and MAPK9. This gene can undergo translocation with the AML1 gene, resulting in overexpression of this gene and the onset of leukemia. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Mar 2011].","['Zinc finger C2H2-type', 'Zinc finger C2H2 superfamily', 'SET domain superfamily', 'SET domain', 'PRDM3, PR/SET domain']"
FA complementation group A,FANCA,1810,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group A. Alternative splicing results in multiple transcript variants encoding different isoforms. Mutations in this gene are the most common cause of Fanconi anemia. [provided by RefSeq, Jul 2008].","['Fanconi anaemia group A protein', 'Fanconi anaemia group A protein, N-terminal domain']"
FA complementation group C,FANCC,1811,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group C. [provided by RefSeq, Jul 2008].",[]
FAT atypical cadherin 1,FAT1,1827,"This gene is an ortholog of the Drosophila fat gene, which encodes a tumor suppressor essential for controlling cell proliferation during Drosophila development. The gene product is a member of the cadherin superfamily, a group of integral membrane proteins characterized by the presence of cadherin-type repeats. In addition to containing 34 tandem cadherin-type repeats, the gene product has five epidermal growth factor (EGF)-like repeats and one laminin A-G domain. This gene is expressed at high levels in a number of fetal epithelia. Its product probably functions as an adhesion molecule and/or signaling receptor, and is likely to be important in developmental processes and cell communication. Transcript variants derived from alternative splicing and/or alternative promoter usage exist, but they have not been fully described. [provided by RefSeq, Jul 2008].","['Cadherin-like', 'Cadherin-like superfamily', 'Protocadherin/Cadherin-related Cell Adhesion', 'EGF-type aspartate/asparagine hydroxylation site', 'EGF-like domain', 'Laminin G domain', 'EGF-like calcium-binding domain', 'Concanavalin A-like lectin/glucanase domain superfamily', 'EGF-like calcium-binding, conserved site', 'Cadherin conserved site', 'Cadherin']"
Fc gamma receptor IIa,FCGR2A,1842,"This gene encodes one member of a family of immunoglobulin Fc receptor genes found on the surface of many immune response cells. The protein encoded by this gene is a cell surface receptor found on phagocytic cells such as macrophages and neutrophils, and is involved in the process of phagocytosis and clearing of immune complexes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2008].","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Immunoglobulin Fc region receptor']"
Fc gamma receptor IIb,FCGR2B,1843,"The protein encoded by this gene is a low affinity receptor for the Fc region of immunoglobulin gamma complexes. The encoded protein is involved in the phagocytosis of immune complexes and in the regulation of antibody production by B-cells. Variations in this gene may increase susceptibilty to systemic lupus erythematosus (SLE). Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010].","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Immunoglobulin Fc region receptor']"
Fc gamma receptor IIIa,FCGR3A,1844,"This gene encodes a receptor for the Fc portion of immunoglobulin G, and it is involved in the removal of antigen-antibody complexes from the circulation, as well as other responses, including antibody dependent cellular mediated cytotoxicity and antibody dependent enhancement of virus infections. This gene (FCGR3A) is highly similar to another nearby gene (FCGR3B) located on chromosome 1. The receptor encoded by this gene is expressed on natural killer (NK) cells as an integral membrane glycoprotein anchored through a transmembrane peptide, whereas FCGR3B is expressed on polymorphonuclear neutrophils (PMN) where the receptor is anchored through a phosphatidylinositol (PI) linkage. Mutations in this gene are associated with immunodeficiency 20, and have been linked to susceptibility to recurrent viral infections, susceptibility to systemic lupus erythematosus, and alloimmune neonatal neutropenia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2020].","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Immunoglobulin Fc region receptor']"
fibroblast growth factor 2,FGF2,1872,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members bind heparin and possess broad mitogenic and angiogenic activities. This protein has been implicated in diverse biological processes, such as limb and nervous system development, wound healing, and tumor growth. The mRNA for this gene contains multiple polyadenylation sites, and is alternatively translated from non-AUG (CUG) and AUG initiation codons, resulting in five different isoforms with distinct properties. The CUG-initiated isoforms are localized in the nucleus and are responsible for the intracrine effect, whereas, the AUG-initiated form is mostly cytosolic and is responsible for the paracrine and autocrine effects of this FGF. [provided by RefSeq, Jul 2008].","['Fibroblast growth factor family', 'Cytokine IL1/FGF']"
fibroblast growth factor 3,FGF3,1873,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities and are involved in a variety of biological processes including embryonic development, cell growth, morphogenesis, tissue repair, tumor growth and invasion. This gene was identified by its similarity with mouse fgf3/int-2, a proto-oncogene activated in virally induced mammary tumors in the mouse. Frequent amplification of this gene has been found in human tumors, which may be important for neoplastic transformation and tumor progression. Studies of the similar genes in mouse and chicken suggested the role in inner ear formation. [provided by RefSeq, Jul 2008].","['Fibroblast growth factor family', 'Cytokine IL1/FGF']"
fibroblast growth factor 13,FGF13,1883,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes, including embryonic development, cell growth, morphogenesis, tissue repair, tumor growth, and invasion. This gene is located in a region on chromosome X, which is associated with Borjeson-Forssman-Lehmann syndrome (BFLS), making it a possible candidate gene for familial cases of the BFLS, and for other syndromal and nonspecific forms of X-linked cognitive disability mapping to this region. Alternative splicing of this gene at the 5' end results in several transcript variants encoding different isoforms with different N-termini. [provided by RefSeq, Nov 2008].","['Fibroblast growth factor family', 'Cytokine IL1/FGF']"
